County,Year,Labor Force,Employment Count,Unemployment Count,Unemployment Rate
San Mateo County,2019,460500,452000,8500,1.8
San Francisco County,2019,585100,573500,11700,2.0
Marin County,2019,138800,135900,2900,2.1
Santa Clara County,2019,1058000,1033900,24100,2.3
Sonoma County,2019,256600,250200,6400,2.5
Orange County,2019,1618800,1577800,41000,2.5
Alameda County,2019,845300,822800,22500,2.7
San Luis Obispo County,2019,137500,133800,3700,2.7
Contra Costa County,2019,562200,546500,15800,2.8
Placer County,2019,189100,183800,5300,2.8
San Diego County,2019,1586900,1540200,46800,2.9
Napa County,2019,70300,68200,2200,3.1
Nevada County,2019,48530,47040,1490,3.1
Inyo County,2019,8730,8450,280,3.2
El Dorado County,2019,92300,89300,3000,3.2
Humboldt County,2019,62200,60200,2000,3.2
Sacramento County,2019,712100,688000,24100,3.4
Mono County,2019,8770,8470,300,3.4
San Bernardino County,2019,985700,951900,33800,3.4
Ventura County,2019,423800,408800,14900,3.5
Solano County,2019,207600,200300,7300,3.5
Santa Barbara County,2019,222800,214700,8000,3.6
Calaveras County,2019,21430,20660,770,3.6
Riverside County,2019,1128300,1085800,42500,3.8
Amador County,2019,14670,14100,570,3.9
Mendocino County,2019,38280,36780,1500,3.9
Yolo County,2019,107800,103300,4400,4.1
Los Angeles County,2019,5216000,4995500,220500,4.2
Tuolumne County,2019,20600,19730,870,4.2
Shasta County,2019,73000,69700,3200,4.4
Butte County,2019,97700,93200,4400,4.5
Mariposa County,2019,7270,6950,330,4.5
Lassen County,2019,9280,8870,410,4.5
Alpine County,2019,520,500,30,4.8
Sierra County,2019,1350,1280,60,4.8
San Benito County,2019,32400,30800,1600,5.0
Santa Cruz County,2019,138400,131300,7100,5.1
Tehama County,2019,25390,24080,1310,5.2
Lake County,2019,28730,27180,1550,5.4
Trinity County,2019,4410,4160,240,5.5
Glenn County,2019,12780,12050,740,5.8
San Joaquin County,2019,328700,309500,19300,5.9
Stanislaus County,2019,241300,227100,14100,5.9
Yuba County,2019,30200,28400,1800,5.9
Del Norte County,2019,9460,8890,570,6.0
Siskiyou County,2019,16540,15430,1110,6.7
Madera County,2019,62900,58500,4300,6.9
Fresno County,2019,451000,418400,32600,7.2
Modoc County,2019,3040,2820,230,7.4
Kern County,2019,387400,358400,28900,7.5
Sutter County,2019,45100,41700,3500,7.7
Monterey County,2019,208800,192700,16100,7.7
Plumas County,2019,7470,6870,600,8.1
Kings County,2019,57600,52900,4700,8.1
Merced County,2019,114900,105400,9500,8.3
Tulare County,2019,199800,180000,19800,9.9
Colusa County,2019,10640,9080,1560,14.6
Imperial County,2019,74400,59100,15300,20.5
